Genus_&_Specie,Time,Location,Current_Country,Cranial_Capacity,Height,Incisor_Size,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,Diet,Hip
Australopithecus Anamensis,4.89929001,Africa,Kenya,420.30888,114.15551,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.89856976,Africa,Kenya,263.10281,120.5543,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.89680457,Africa,Kenya,439.7069,121.91303,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.8934999,Africa,Kenya,229.5097,116.17382,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.89286154,Africa,Kenya,432.18947,113.67977,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.89235727,Africa,Kenya,219.2587,123.86983,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.89108278,Africa,Kenya,449.89094,111.83779,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.88905692,Africa,Kenya,437.62889,112.03044,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.88826829,Africa,Kenya,452.74087,125.29268,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.88747431,Africa,Kenya,475.20507,113.66874,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.88381798,Africa,Kenya,248.86741,126.38624,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.88357434,Africa,Kenya,365.22286,113.4292,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.88313462,Africa,Kenya,265.64583,112.65972,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.87842761,Africa,Kenya,249.09596,110.91544,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.87570223,Africa,Kenya,440.001,124.5091,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.87191368,Africa,Kenya,317.16975,129.58597,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.87101918,Africa,Kenya,422.83684,128.86312,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.86999428,Africa,Kenya,378.8702,115.54906,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.86948064,Africa,Kenya,489.60098,116.31627,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
Australopithecus Anamensis,4.86505857,Africa,Kenya,350.64185,116.64731,big,high,anterior,big,incisiform,thick,no,no,dry fruits,wide
